simID,mean_rf,quantile25,quantile50,quantile75,quantile99,quantile999,mean_tl,var_tl,entropy
1,0.722713,0,0,2,2,2,3.05494,0.0029848,0.303437
2,0,0,0,0,0,0,3.16416,0.00317044,0
3,0.217899,0,0,0,2,2,3.29316,0.00416504,0.689154
4,0.433298,0,0,0,2,2,3.04355,0.002635,0.453204
5,0,0,0,0,0,0,3.16658,0.00324938,0
6,0,0,0,0,0,0,3.12484,0.00286362,0
7,0.843602,0,0,2,2,2,3.16373,0.00306848,0.113374
8,0.0533141,0,0,0,2,2,3.06796,0.0035205,0.571455
9,0,0,0,0,0,0,3.17437,0.00298891,0
10,0,0,0,0,0,0,3.19026,0.00357366,0
11,0,0,0,0,0,0,3.02756,0.00287536,0
12,0.0266667,0,0,0,2,2,3.27727,0.00402287,0.623093
13,0,0,0,0,0,0,3.04364,0.00298842,0
14,0,0,0,0,0,0,3.32042,0.00339082,0
15,0.053684,0,0,0,2,2,3.18157,0.00309623,0.958679
16,0.354885,0,0,0,2,2,3.14593,0.00269545,0.527092
17,0,0,0,0,0,0,3.15312,0.00356079,0
18,0.729885,0,0,2,2,2,3.10517,0.00254116,0.230265
19,0,0,0,0,0,0,3.24084,0.00307227,0
20,0,0,0,0,0,0,3.18049,0.00450401,0
21,0.217467,0,0,0,2,2,3.23964,0.00326872,0.692478
22,0,0,0,0,0,0,3.19647,0.00229851,0
23,0.240126,0,0,0,2,2,3.20491,0.00319068,0.693536
24,0,0,0,0,0,0,3.15992,0.00249937,0
25,0,0,0,0,0,0,3.13626,0.00298772,0
26,0.0266667,0,0,0,2,2,3.03668,0.0033326,0.623093
27,0.693762,0,0,2,2,2,3.12972,0.00346871,0.319544
28,0,0,0,0,0,0,3.01483,0.00303225,0
29,0,0,0,0,0,0,3.23094,0.00315967,0
30,0.617681,0,0,2,2,2,3.25841,0.00315143,0.282975
31,0,0,0,0,0,0,3.18544,0.0032014,0
32,1.37058,0,2,2,4,4,3.14074,0.00361072,0.59323
33,0,0,0,0,0,0,3.09756,0.00296333,0
34,0.190202,0,0,0,2,2,3.29416,0.00308642,0.728331
35,0.4788,0,0,0,2,2,3.16438,0.0031632,0.484729
36,0,0,0,0,0,0,3.14318,0.00266416,0
37,0,0,0,0,0,0,3.20128,0.00321606,0
38,0,0,0,0,0,0,3.12669,0.00310595,0
39,0.0533141,0,0,0,2,2,2.97667,0.00395207,0.571455
40,0,0,0,0,0,0,3.17088,0.00317782,0
41,0,0,0,0,0,0,3.02659,0.00335577,0
42,0.24327,0,0,0,2,4,3.13482,0.00355244,0.693536
43,0.0266667,0,0,0,2,2,3.06944,0.00433893,0.623093
44,0,0,0,0,0,0,3.18873,0.00283279,0
45,0.217467,0,0,0,2,2,3.06804,0.00317944,0.692478
46,0.13943,0,0,0,2,4,3.14727,0.00333806,1.27919
47,0.0266667,0,0,0,2,2,3.03424,0.00242547,0.623093
48,0.907422,0,0,2,2,2,3.12681,0.00289747,0.072817
49,0.777778,0,0,2,2,2,3.18576,0.00353441,0.202542
50,0.0266667,0,0,0,2,2,3.11875,0.00309795,0.623093
51,0,0,0,0,0,0,3.17155,0.00335129,0
52,0,0,0,0,0,0,3.24884,0.00361619,0
53,0,0,0,0,0,0,2.96632,0.00322821,0
54,0,0,0,0,0,0,3.19317,0.00287258,0
55,0,0,0,0,0,0,3.06438,0.00290611,0
56,0,0,0,0,0,0,3.00724,0.00279862,0
57,0,0,0,0,0,0,3.15828,0.00249005,0
58,0.135231,0,0,0,2,2,3.13845,0.00413573,0.811726
59,0,0,0,0,0,0,3.2444,0.00284788,0
60,0,0,0,0,0,0,3.23478,0.00329025,0
61,0,0,0,0,0,0,3.24213,0.0038213,0
62,0,0,0,0,0,0,3.07884,0.00282214,0
63,0,0,0,0,0,0,3.22989,0.00326875,0
64,0.0266667,0,0,0,2,2,3.10406,0.00303097,0.623093
65,0,0,0,0,0,0,3.06394,0.00381326,0
66,0,0,0,0,0,0,3.17023,0.00294503,0
67,0.0806717,0,0,0,2,2,3.08665,0.00235009,0.907219
68,0,0,0,0,0,0,2.99375,0.00282267,0
69,0.0266667,0,0,0,2,2,3.19124,0.00368668,0.623093
70,0,0,0,0,0,0,3.13928,0.00278622,0
71,0.053684,0,0,0,2,2,3.14863,0.00280498,0.958679
72,0,0,0,0,0,0,3.16055,0.0029376,0
73,0,0,0,0,0,0,3.04287,0.00322942,0
74,0,0,0,0,0,0,3.13678,0.00262734,0
75,0,0,0,0,0,0,3.28648,0.00365959,0
76,0,0,0,0,0,0,3.18607,0.00271286,0
77,0,0,0,0,0,0,3.14717,0.0028823,0
78,0,0,0,0,0,0,3.23766,0.00251439,0
79,0,0,0,0,0,0,3.15586,0.00348546,0
80,0,0,0,0,0,0,3.09783,0.00337926,0
81,0,0,0,0,0,0,3.11199,0.00329943,0
82,0,0,0,0,0,0,2.9898,0.00347034,0
83,0,0,0,0,0,0,3.3347,0.00325652,0
84,0,0,0,0,0,0,3.08197,0.00268854,0
85,0.0533141,0,0,0,2,2,3.06035,0.00337661,0.571455
86,0,0,0,0,0,0,3.04075,0.00238963,0
87,0.0266667,0,0,0,2,2,3.21021,0.00279567,0.623093
88,0,0,0,0,0,0,3.0225,0.00225581,0
89,0.0266667,0,0,0,2,2,3.11549,0.00239091,0.623093
90,0,0,0,0,0,0,3.06445,0.00346135,0
91,0.662929,0,0,2,2,2,3.10026,0.00326553,0.315055
92,0,0,0,0,0,0,3.03722,0.00301175,0
93,0.0799124,0,0,0,2,2,3.03047,0.00316805,0.526879
94,0.378965,0,0,0,2,2,3.22475,0.00376375,0.510686
95,0.0806717,0,0,0,2,2,3.22873,0.00355895,0.907219
96,0,0,0,0,0,0,3.08025,0.00425139,0
97,0,0,0,0,0,0,3.16077,0.00291209,0
98,0,0,0,0,0,0,3.16983,0.0028693,0
99,0,0,0,0,0,0,3.23915,0.00372709,0
100,0,0,0,0,0,0,3.21799,0.00321434,0
101,0,0,0,0,0,0,3.24296,0.00361218,0
